Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,Cover Id
25700098,Designing Delivery: Rethinking IT in the Digital Service Economy,Jeff Sussna,"Sussna, Jeff",,"=""""","=""""",0,3.94,O'Reilly Media,Kindle Edition,232,2015,2015,,2018/07/08,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,,1433950533l
10281070,Redesigning Leadership,John Maeda,"Maeda, John",,"=""0262015889""","=""9780262015882""",0,3.88,Mit Press,Hardcover,80,2011,2011,,2018/10/04,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,,1348419994l
29069374,"My Favorite Thing Is Monsters, Vol. 1 (My Favorite Thing Is Monsters, #1)",Emil Ferris,"Ferris, Emil",,"=""1606999591""","=""9781606999592""",4,4.12,Fantagraphics,Paperback,414,2017,2017,,2018/07/07,,,read,,,,1,,,0,,,,,,1471633077l
8034188,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,"Johnson, Steven",,"=""1594487715""","=""9781594487712""",0,4.03,Riverhead Books,Hardcover,326,2010,2010,,2019/01/04,to-read,to-read (#60),to-read,,,,0,,,0,,,,,,1311705993l
24507142,Practical Empathy,Indi Young,"Young, Indi",,"=""1457190710""","=""9781457190711""",3,3.87,Rosenfeld Media,ebook,200,2015,2015,2019/01/04,2018/12/26,,,read,,,,1,,,0,,,,,,1421710768l
42068960,"Ciao, mi chiamo Luis",Luis Sal,"Sal, Luis",,"=""""","=""""",0,3.20,RIZZOLI,Kindle Edition,191,2018,,,2019/01/03,,,read,,,,1,,,0,,,,,,1537905295l
39082389,Unleash Different: Achieving Success Through Disability,Rich Donovan,"Donovan, Rich",,"=""1770414487""","=""9781770414488""",0,4.80,ECW Press,Hardcover,260,2018,2018,,2018/09/27,to-read,to-read (#60),to-read,,,,0,,,0,,,,,,1521066752l
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.91,Random House ,Hardcover,366,2007,2007,,2019/01/01,to-read,to-read (#59),to-read,,,,0,,,0,,,,,,1386925471l
42843336,Sabrina,Nick Drnaso,"Drnaso, Nick",Stefano A. Cresti,"=""8876184074""","=""9788876184079""",4,3.83,Coconino Press - Fandango,Hardcover,207,2018,2018,2018/12/26,2018/12/26,,,read,,,,1,,,0,,,,,,1542376231l
426683,What Customers Want: Using Outcome-Driven Innovation to Create Breakthrough Products and Services: Using Outcome-Driven Innovation to Create Breakthrough Products and Services,Anthony W. Ulwick,"Ulwick, Anthony W.",,"=""0071408673""","=""9780071408677""",0,4.02,McGraw-Hill Education,Hardcover,202,2005,2005,,2018/12/17,to-read,to-read (#58),to-read,,,,0,,,0,,,,,,1348904332l
30413203,Designing Voice User Interfaces: How to Create Engaging and Compelling Experiences,Cathy Pearl,"Pearl, Cathy",,"=""1491955414""","=""9781491955413""",0,3.74,O'Reilly Media,Paperback,150,2016,,,2018/12/16,to-read,to-read (#57),to-read,,,,0,,,0,,,,,,1480434606l
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",0,4.31,Random House,Hardcover,472,2002,1961,,2018/12/16,to-read,to-read (#56),to-read,,,,0,,,0,,,,,,1168135326l
2262512,The Five Dysfunctions of a Team (Manga Edition): An Illustrated Leadership Fable,Patrick Lencioni,"Lencioni, Patrick",Kensuke Okabayashi,"=""0470823380""","=""9780470823385""",0,3.77,Jossey-Bass,Paperback,173,2008,,,2018/12/16,to-read,to-read (#55),to-read,,,,0,,,0,,,,,,1347977273l
255127,The Fifth Discipline: The Art & Practice of The Learning Organization,Peter M. Senge,"Senge, Peter M.",,"=""0385517254""","=""9780385517256""",0,3.90,Crown Business,Paperback,464,2006,1990,,2018/11/30,to-read,to-read (#54),to-read,,,,0,,,0,,,,,,1386925460l
583785,The Systems Bible: The Beginner's Guide to Systems Large and Small: Being the Third Edition of Systemantics,John Gall,"Gall, John",,"=""0961825170""","=""9780961825171""",0,4.03,General Systemantics Press,Hardcover,314,2002,1977,,2018/11/30,to-read,to-read (#53),to-read,,,,0,,,0,,,,,,1176010078l
22529127,Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Chris Fussell, Tantum Collins, David        Silverman","=""1591847486""","=""9781591847489""",0,4.23,Portfolio Hardcover,Hardcover,304,2015,2015,,2018/11/29,to-read,to-read (#52),to-read,,,,0,,,0,,,,,,1435278580l
12228097,"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",Steve Peters,"Peters, Steve",,"=""009193558X""","=""9780091935580""",0,3.99,Vermilion,Paperback,346,2012,2012,,2018/11/29,to-read,to-read (#51),to-read,,,,0,,,0,,,,,,1341288318l
33876440,This Mortal Coil (This Mortal Coil #1),Emily Suvada,"Suvada, Emily",,"=""1481496336""","=""9781481496339""",0,4.16,Simon Pulse,Hardcover,425,2017,2017,,2018/11/12,to-read,to-read (#50),to-read,,,,0,,,0,,,,,,1489514460l
25358827,"Glenn Gould, une vie à contretemps",Sandrine Revel,"Revel, Sandrine",,"=""""","=""""",0,3.88,Dargaud,Kindle Edition,128,2015,2015,,2018/11/01,to-read,to-read (#49),to-read,,,,0,,,0,,,,,,1441489394l
29771370,Brilliant Imperfection: Grappling with Cure,Eli Clare,"Clare, Eli",,"=""0822362872""","=""9780822362876""",0,4.60,Duke University Press Books,Paperback,240,2017,,,2018/09/27,to-read,to-read (#47),to-read,,,,0,,,0,,,,,,1480969553l
25520974,"Articulating Design Decisions: Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",Tom Greever,"Greever, Tom",,"=""1491921560""","=""9781491921562""",0,4.07,O'Reilly Media,Paperback,259,2015,2015,,2018/09/26,to-read,to-read (#46),to-read,,,,0,,,0,,,,,,1444647757l
13192061,"Agile Experience Design: A Digital Designer's Guide to Agile, Lean, and Continuous",Lindsay Ratcliffe,"Ratcliffe, Lindsay",Marc McNeill,"=""0321804813""","=""9780321804815""",0,3.96,New Riders Publishing,Paperback,309,2011,2011,,2018/09/26,to-read,to-read (#45),to-read,,,,0,,,0,,,,,,1348252359l
36192979,Kobane Calling,Zerocalcare,"Zerocalcare, Zerocalcare",,"=""1941302491""","=""9781941302491""",5,4.61,Lion Forge,Paperback,272,2017,2016,2018/07/14,2018/07/07,,,read,,,,1,,,0,,,,,,1504725824l
111113,Interaction of Color,Josef Albers,"Albers, Josef",Nicholas Fox Weber,"=""0300115954""","=""9780300115956""",0,4.05,Yale University Press,Paperback,160,2006,1971,,2018/07/08,to-read,to-read (#44),to-read,,,,0,,,0,,,,,,1328870173l
44098,The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity,Alan Cooper,"Cooper, Alan",,"=""0672326140""","=""""",0,3.95,Sams Publishing,Paperback,255,2004,1999,,2018/07/08,to-read,to-read (#43),to-read,,,,0,,,0,,,,,,1294604058l
453455,Disney's Art of Animation #2: FROM MICKEY MOUSE to HERCULES,Bob Thomas,"Thomas, Bob",Walt Disney Company,"=""0786862416""","=""9780786862412""",0,4.25,Disney Editions,Hardcover,224,2017,1997,,2018/07/08,to-read,to-read (#42),to-read,,,,0,,,0,,,,,,1174911213l
24612531,Space Dumplins,Craig Thompson,"Thompson, Craig",,"=""054556543X""","=""9780545565431""",0,3.82,Graphix,Paperback,316,2015,2015,,2018/07/08,to-read,to-read (#41),to-read,,,,0,,,0,,,,,,1422925798l
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",0,4.23,HarperBusiness,Hardcover,304,2014,2014,,2018/07/08,to-read,to-read (#40),to-read,,,,0,,,0,,,,,,1386609333l
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""9780671723651""",0,4.17,Gallery Books,Paperback,288,1998,1936,,2018/07/08,to-read,to-read (#39),to-read,,,,0,,,0,,,,,,1442726934l
857333,The Art of Learning: A Journey in the Pursuit of Excellence,Josh Waitzkin,"Waitzkin, Josh",,"=""0743277457""","=""9780743277457""",0,4.08,Free Press,Hardcover,265,2007,2007,,2018/07/08,to-read,to-read (#38),to-read,,,,0,,,0,,,,,,1348688766l
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.02,Crown Business,Hardcover,260,2014,2014,,2018/07/08,to-read,to-read (#37),to-read,,,,0,,,0,,,,,,1403165375l
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.16,Crown Business,Hardcover,195,2014,2014,,2018/07/08,to-read,to-read (#36),to-read,,,,0,,,0,,,,,,1414347376l
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.06,Random House,Hardcover,375,2012,2012,,2018/07/08,to-read,to-read (#35),to-read,,,,0,,,0,,,,,,1545854312l
10639,The Paradox of Choice: Why More Is Less,Barry Schwartz,"Schwartz, Barry",,"=""0060005696""","=""9780060005696""",0,3.84,Harper Perennial,Paperback,265,2005,2004,,2018/07/08,to-read,to-read (#34),to-read,,,,0,,,0,,,,,,1410138134l
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,"=""1591842808""","=""9781591842804""",0,4.07,Portfolio,Hardcover,256,2009,2009,,2018/07/08,to-read,to-read (#33),to-read,,,,0,,,0,,,,,,1360936414l
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",0,4.11,Harper Perennial,Paperback,303,1990,1990,,2018/07/08,to-read,to-read (#32),to-read,,,,0,,,0,,,,,,1432253110l
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.28,Crown Publishers,Hardcover,374,2011,2011,,2018/07/08,to-read,to-read (#31),to-read,,,,0,,,0,,,,,,1500930947l
21856367,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.07,Simon and Schuster,Hardcover,528,2014,2014,,2018/07/08,to-read,to-read (#30),to-read,,,,0,,,0,,,,,,1410191571l
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,4.17,Houghton Mifflin Harcourt,Hardcover,307,2014,2014,,2018/07/08,to-read,to-read (#29),to-read,,,,0,,,0,,,,,,1451351509l
25329850,Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,"Munroe, Randall",,"=""0544668251""","=""9780544668256""",0,4.15,Houghton Mifflin Harcourt,Hardcover,64,2015,2015,,2018/07/08,to-read,to-read (#28),to-read,,,,0,,,0,,,,,,1431518396l
10569,On Writing: A Memoir of the Craft,Stephen King,"King, Stephen",,"=""0743455967""","=""9780743455961""",0,4.32,Pocket Books,Mass Market Paperback,320,2002,2000,,2018/07/08,to-read,to-read (#27),to-read,,,,0,,,0,,,,,,1436735207l
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0060521996""","=""9780060521998""",0,3.98,Harper Paperbacks,Paperback,286,2003,1997,,2018/07/08,to-read,to-read (#26),to-read,,,,0,,,0,,,,,,1347654027l
1317946,Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,"Lopp, Michael",,"=""159059844X""","=""9781590598443""",0,3.97,Apress,Paperback,209,2007,2007,,2018/07/08,to-read,to-read (#25),to-read,,,,0,,,0,,,,,,1348842671l
28450775,Whiplash: How to Survive Our Faster Future,Joichi Ito,"Ito, Joichi",Jeff   Howe,"=""1455544590""","=""9781455544592""",0,3.90,Grand Central Publishing,Hardcover,320,2016,2016,,2018/07/08,to-read,to-read (#24),to-read,,,,0,,,0,,,,,,1465763059l
79766,"A Pattern Language: Towns, Buildings, Construction",Christopher W. Alexander,"Alexander, Christopher W.","Sara Ishikawa, Murray Silverstein, Max  Jacobson, Ingrid Fiksdahl-King, Shlomo Angel","=""0195019199""","=""9780195019193""",0,4.38,"Oxford University Press, USA",Hardcover,1216,1977,1977,,2018/07/08,to-read,to-read (#23),to-read,,,,0,,,0,,,,,,1437097809l
10321016,"Pitch Anything: An Innovative Method for Presenting, Persuading, and Winning the Deal",Oren Klaff,"Klaff, Oren",,"=""0071752854""","=""9780071752855""",0,4.08,McGraw-Hill Education,Hardcover,225,2011,2011,,2018/07/08,to-read,to-read (#22),to-read,,,,0,,,0,,,,,,1347796457l
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",0,3.90,Penguin Books,Paperback,224,1991,1981,,2018/07/08,to-read,to-read (#21),to-read,,,,0,,,0,,,,,,1442289862l
18847750,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Guidelines,Jeff                                                 Johnson,"Johnson, Jeff",,"=""0124079148""","=""9780124079144""",0,4.09,Morgan Kaufmann Publishers,Paperback,234,2014,2010,,2018/07/08,to-read,to-read (#19),to-read,,,,0,,,0,,,,,,1387708149l
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.45,Harvill Secker,Paperback,443,2014,2011,,2018/07/07,to-read,to-read (#18),to-read,,,,0,,,0,,,,,,1420585954l
7326756,"Children of the Sea, Volume 3 (Children of the Sea, #3)",Daisuke Igarashi,"Igarashi, Daisuke",,"=""1421529203""","=""9781421529202""",4,4.01,VIZ Media LLC,Paperback,342,2010,2007,,2018/07/07,,,read,,,,1,,,0,,,,,,1391901148l
6408556,"Children of the Sea, Volume 2 (Children of the Sea, #2)",Daisuke Igarashi,"Igarashi, Daisuke",,"=""142152919X""","=""9781421529196""",4,4.05,VIZ Media LLC,Paperback,320,2009,2007,,2018/07/07,,,read,,,,1,,,0,,,,,,1348984106l
6218002,"Children of the Sea, Volume 1 (Children of the Sea, #1)",Daisuke Igarashi,"Igarashi, Daisuke",,"=""1421529149""","=""9781421529141""",4,3.83,VIZ Media LLC,Paperback,320,2009,2007,,2018/07/07,,,read,,,,1,,,0,,,,,,1348976219l
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""0307886255""","=""9780307886255""",0,4.17,Crown Business,ebook,320,2011,2011,,2018/07/07,to-read,to-read (#17),to-read,,,,0,,,0,,,,,,1360570381l
32999998,Platform Capitalism,Nick Srnicek,"Srnicek, Nick",,"=""""","=""""",0,3.95,Polity,Paperback,171,2016,2016,,2018/07/07,to-read,to-read (#16),to-read,,,,0,,,0,,,,,,1479372849l
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",0,4.26,Chelsea Green Publishing,Paperback,240,2008,2008,,2018/07/07,to-read,to-read (#15),to-read,,,,0,,,0,,,,,,1390169859l
1210562,Dont Make Me Think And Html World Wide Web,Steve Krug,"Krug, Steve",,"=""0131420879""","=""9780131420878""",3,4.24,New Riders,Paperback,,2006,2000,,2018/07/07,,,read,,,,1,,,0,,,,,,1356601110l
10235,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,"Kidder, Tracy",,"=""0812973011""","=""9780812973013""",0,4.21,Random House Trade,Paperback,333,2004,2003,,2018/07/07,to-read,to-read (#14),to-read,,,,0,,,0,,,,,,1433156001l
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.12,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2018/07/07,to-read,to-read (#13),to-read,,,,0,,,0,,,,,,1317793965l
17743,Beautiful Evidence,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392177""","=""9780961392178""",0,4.14,Graphics Press LLC,Hardcover,213,2006,2006,,2018/07/07,to-read,to-read (#12),to-read,,,,0,,,0,,,,,,1392420570l
17746,"Visual Explanations: Images and Quantities, Evidence and Narrative",Edward R. Tufte,"Tufte, Edward R.",,"=""0961392126""","=""9780961392123""",0,4.29,Graphics Press,Hardcover,156,1998,1997,,2018/07/07,to-read,to-read (#11),to-read,,,,0,,,0,,,,,,1441236175l
17745,Envisioning Information,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392118""","=""9780961392116""",0,4.22,Graphics Press,Unknown Binding,126,1992,1990,,2018/07/07,to-read,to-read (#10),to-read,,,,0,,,0,,,,,,1290403773l
17744,The Visual Display of Quantitative Information,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392142""","=""9780961392147""",0,4.41,Graphics,Hardcover,197,2001,1983,,2018/07/07,to-read,to-read (#9),to-read,,,,0,,,0,,,,,,1490961555l
6671664,Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation,Tim        Brown,"Brown, Tim",,"=""0061766089""","=""9780061766084""",0,3.91,HarperBusiness,Hardcover,272,2009,2009,,2018/07/07,to-read,to-read (#8),to-read,,,,0,,,0,,,,,,1348453734l
38310,How Buildings Learn: What Happens After They're Built,Stewart Brand,"Brand, Stewart",,"=""0140139966""","=""9780140139969""",0,4.33,Penguin Books,Paperback,252,1995,1994,,2018/07/07,to-read,to-read (#7),to-read,,,,0,,,0,,,,,,1386924841l
106728,The Timeless Way of Building,Christopher W. Alexander,"Alexander, Christopher W.",,"=""0195024028""","=""9780195024029""",0,4.32,"Oxford University Press, USA",Hardcover,552,1979,1978,,2018/07/07,to-read,to-read (#6),to-read,,,,0,,,0,,,,,,1348093712l
16297977,Designing News: Changing the World of Editorial Design and Information Graphics,Francesco Franchi,"Franchi, Francesco",,"=""389955468X""","=""9783899554687""",4,4.43,Gestalten Verlag,Hardcover,224,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1384188856l
34876965,Fuggire,Guy Delisle,"Delisle, Guy",,"=""""","=""""",5,4.06,RIZZOLI LIZARD,Kindle Edition,429,2017,2016,,2018/07/07,,,read,,,,1,,,0,,,,,,1492518627l
36103849,L'arabo del futuro 2: Una giovinezza in Medio Oriente (1984-1985),Riad Sattouf,"Sattouf, Riad",,"=""8817093831""","=""9788817093835""",4,4.18,Rizzoli Lizard,Paperback,160,2017,2015,,2018/07/07,,,read,,,,1,,,0,,,,,,1506359536l
17612559,The Great War: The First Day of the Battle of the Somme (An Illustrated Panorama),Joe Sacco,"Sacco, Joe",,"=""0224097717""","=""9780224097710""",4,4.30,Jonathan Cape,Hardcover,56,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1387700726l
25703484,L'arabo del futuro: Una giovinezza in Medio Oriente (1978-1984),Riad Sattouf,"Sattouf, Riad",,"=""""","=""""",4,3.99,Rizzoli Lizard,Kindle Edition,160,2015,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1433973916l
20895652,Hilda e il troll,Luke Pearson,"Pearson, Luke",Caterina Marietti,"=""8865431962""","=""9788865431962""",3,4.18,BAO Publishing,Hardcover,40,2014,2010,,2018/07/07,,,read,,,,1,,,0,,,,,,1393244181l
18190561,Fermo,Sualzo,"Sualzo, Sualzo",,"=""886543158X""","=""9788865431580""",4,3.81,Bao Publishing,Paperback,125,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1373652647l
20614306,Graphic novel is dead,Davide Toffolo,"Toffolo, Davide",Cecilia Ibañez,"=""8817068233""","=""9788817068239""",3,3.54,Rizzoli Lizard,Paperback,143,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1390346307l
9660550,LMVDM. La mia vita disegnata male,Gipi,"Gipi, Gipi",,"=""8876181253""","=""9788876181252""",5,4.27,Coconino Press,Paperback,143,2008,2008,,2018/07/07,,,read,,,,1,,,0,,,,,,1319534294l
321821,Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,"Ware, Chris",,"=""0375714545""","=""9780375714542""",5,4.09,Pantheon,Paperback,380,2003,2000,,2018/07/07,,,read,,,,1,,,0,,,,,,1327881660l
26837404,L'elenco telefonico degli accolli,Zerocalcare,"Zerocalcare, Zerocalcare",,"=""""","=""""",4,4.11,Bao Publishing,Kindle Edition,,2015,2015,,2018/07/07,,,read,,,,1,,,0,,,,,,1443569230l
9440094,Persepolis,Marjane Satrapi,"Satrapi, Marjane","Gianluigi Gasparini, Agnès Nobecourt, Cristina Sparagana","=""8817034770""","=""9788817034777""",5,4.38,Rizzoli Lizard,Paperback,354,2007,2003,,2018/07/07,,,read,,,,1,,,0,,,,,,1449697740l
9652441,Il piccolo libro dei colori,Michel Pastoureau,"Pastoureau, Michel","Dominique Simonnet, Francesco Bruno","=""8879288555""","=""9788879288552""",3,3.85,Ponte alle Grazie,Paperback,112,2006,2005,,2018/07/07,,,read,,,,1,,,0,,,,,,1448038338l
16151874,Il Re Rosa,David B.,"B., David",Michele Foschini,"=""8865430052""","=""9788865430057""",3,3.59,Bao Publishing,Hardcover,48,2010,2009,,2018/07/07,,,read,,,,1,,,0,,,,,,1353015782l
10166380,Maus,Art Spiegelman,"Spiegelman, Art",Cristina Previtali,"=""8806202340""","=""9788806202347""",5,4.54,Einaudi,Paperback,291,2010,1986,,2018/07/07,,,read,,,,1,,,0,,,,,,1327271246l
10041173,Blankets,Craig Thompson,"Thompson, Craig","Claudia Manzolelli, Luca Sofri","=""8817043737""","=""9788817043731""",5,4.05,Rizzoli Lizard,Hardcover,592,2010,2003,,2018/07/07,,,read,,,,1,,,0,,,,,,1327489379l
15713406,The Shape of Design,Frank Chimero,"Chimero, Frank",,"=""0985472200""","=""9780985472207""",3,3.84,n/a,Kindle Edition,131,2012,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1340146013l
22663043,Un drago a forma di nuvola,Ettore Scola,"Scola, Ettore",Ivo Milazzo,"=""""","=""9788865432167""",4,4.00,Bao Publishing,Hardcover,106,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1404490149l
22758923,The Best Interface Is No Interface: The Simple Path to Brilliant Technology,Golden Krishna,"Krishna, Golden",,"=""0133890333""","=""9780133890334""",3,4.05,New Riders Publishing,Paperback,256,2015,2015,,2018/07/07,,,read,,,,1,,,0,,,,,,1410759357l
18695596,Il blu è un colore caldo,Julie Maroh,"Maroh, Julie",Federica Zicchiero,"=""8817069930""","=""9788817069939""",4,3.92,Rizzoli Lizard,Paperback,158,2013,2010,,2018/07/07,,,read,,,,1,,,0,,,,,,1382376085l
2568939,Black Hole,Charles Burns,"Burns, Charles",,"=""0375714723""","=""9780375714726""",3,3.83,Pantheon,Paperback,368,2008,1995,,2018/07/07,,,read,,,,1,,,0,,,,,,1320548959l
18077873,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0804127441""","=""9780804127448""",4,4.19,Random House Audio,Audio CD,,2014,2009,,2018/07/07,,,read,,,,1,,,0,,,,,,1393222361l
15731414,Il Grande Male,David B.,"B., David",Francesca Scala,"=""887618144X""","=""9788876181443""",4,3.89,Coconino Press,Paperback,384,2010,2002,,2018/07/07,,,read,,,,1,,,0,,,,,,1341167529l
23898508,"Marbles: Io, Michelangelo e il disturbo bipolare",Ellen Forney,"Forney, Ellen",,"=""""","=""""",4,3.96,Edizioni BD,Kindle Edition,256,2014,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1419613277l
18522449,Diario del cattivo papà,Guy Delisle,"Delisle, Guy",,"=""8817069663""","=""9788817069663""",4,3.56,Rizzoli Lizard,Paperback,192,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1379704138l
27304674,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""1627652736""","=""9781627652735""",4,3.96,Perfection Learning,Hardcover,,1994,1993,,2018/07/07,,,read,,,,1,,,0,,,,,,1530521502l
18465634,This One Summer,Mariko Tamaki,"Tamaki, Mariko",Jillian Tamaki,"=""159643774X""","=""9781596437746""",5,3.67,First Second,Paperback,319,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1382759134l
16283107,"Addio, Chunky Rice",Craig Thompson,"Thompson, Craig",Claudia Manzolelli,"=""881705867X""","=""9788817058674""",4,3.80,Rizzoli Lizard,Paperback,126,2012,1999,,2018/07/07,,,read,,,,1,,,0,,,,,,1354966883l
22027081,La gigantesca barba malvagia,Stephen    Collins,"Collins, Stephen",Leonardo Favia,"=""8865432292""","=""9788865432297""",4,4.04,Bao Publishing,Hardcover,240,2014,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1398893794l
22377730,Shenzhen,Guy Delisle,"Delisle, Guy",Giovanni Zucca,"=""8817072826""","=""9788817072823""",4,3.75,Rizzoli Lizard,Paperback,150,2014,2000,,2018/07/07,,,read,,,,1,,,0,,,,,,1401475383l
24702251,Vincent,Barbara Stok,"Stok, Barbara",,"=""""","=""""",4,4.10,BAO,Kindle Edition,,2014,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1422304032l
15720111,Cronache di Gerusalemme,Guy Delisle,"Delisle, Guy","Francesca Martucci, Andrea Merico","=""8817057304""","=""9788817057301""",5,4.17,Rizzoli Lizard,Paperback,336,2012,2011,,2018/07/07,,,read,,,,1,,,0,,,,,,1340546034l
12214502,Habibi,Craig Thompson,"Thompson, Craig",,"=""0571241328""","=""9780571241323""",5,4.03,Faber  Faber,Hardcover,672,2011,2011,,2018/07/07,,,read,,,,1,,,0,,,,,,1328544897l
25243624,Tormenta nera,Yoshihiro Tatsumi,"Tatsumi, Yoshihiro",Rosamaria Pavan,"=""""","=""9788865432051""",4,3.44,Bao Publishing,Paperback,128,2014,1956,,2018/07/07,,,read,,,,1,,,0,,,,,,1427647211l
7157044,Light Boxes,Shane Jones,"Jones, Shane",,"=""0143117785""","=""9780143117780""",4,3.65,Penguin Books,Paperback,149,2010,2009,,2018/07/07,,,read,,,,1,,,0,,,,,,1405408929l
18190794,Per gli oscuri sentieri,David B.,"B., David","Hubert, Stefano Visinoni","=""8865430982""","=""9788865430989""",3,3.49,Bao Publishing,Hardcover,126,2013,2007,,2018/07/07,to-read,to-read (#5),to-read,,,,1,,,0,,,,,,1389019894l
11072176,The Mezzanine,Nicholson Baker,"Baker, Nicholson",,"=""184708348X""","=""9781847083487""",0,3.89,Granta Books (Uk),Paperback,135,2011,1988,,2018/07/07,to-read,to-read (#4),to-read,,,,0,,,0,,,,,,1327882738l
32790495,La terra dei figli,Gipi,"Gipi, Gipi",,"=""8876183256""","=""9788876183256""",0,4.04,Coconino Press,Hardcover,288,2016,2016,,2018/07/07,to-read,to-read (#3),to-read,,,,0,,,0,,,,,,1477519867l
36272036,Macerie prime,Zerocalcare,"Zerocalcare, Zerocalcare",Alberto Madrigal,"=""8865439769""","=""9788865439760""",0,4.11,Bao Publishing,Hardcover,192,2017,2017,,2018/07/07,to-read,to-read (#1),to-read,,,,0,,,0,,,,,,1505890300l
